Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds
30.0,4,3425.053000011918,1,20.0,0,6,3.4250530000119177
25.0,52,2668.1810000476835,0,20.0,0,6,2.6681810000476833
80.0,24,2799.400000047681,1,20.0,0,6,2.799400000047681
50.0,52,7272.755000000005,0,20.0,0,6,7.2727550000000045
25.0,4,1753.594000035766,1,20.0,0,6,1.753594000035766
130.0,24,3292.724000000002,1,20.0,0,6,3.292724000000002
30.0,1,1401.4400000238384,1,20.0,0,6,1.4014400000238383
130.0,2,1338.4370000000054,1,20.0,0,6,1.3384370000000054
130.0,52,3907.7970000238274,1,20.0,0,6,3.9077970000238276
65.0,12,1354.8850000357488,1,20.0,0,6,1.3548850000357489
50.0,24,2776.910000011907,1,20.0,0,6,2.776910000011907
30.0,52,4943.896999999997,0,20.0,0,6,4.943896999999997
130.0,1,1210.736000035773,1,20.0,0,6,1.210736000035773
130.0,12,1418.4439999999886,1,20.0,0,6,1.4184439999999885
80.0,4,1370.8420000357728,1,20.0,0,6,1.3708420000357728
30.0,2,1362.3390000000072,1,20.0,0,6,1.3623390000000073
65.0,2,1095.7490000119142,1,20.0,0,6,1.095749000011914
130.0,4,1184.2750000238302,1,20.0,0,6,1.1842750000238302
80.0,2,1028.3050000119256,1,20.0,0,6,1.0283050000119256
25.0,12,2349.12700004768,0,20.0,0,6,2.3491270000476803
65.0,4,1225.6510000476846,1,20.0,0,6,1.2256510000476846
25.0,2,1958.3859999999984,1,20.0,0,6,1.9583859999999984
80.0,12,1016.7370000357624,1,20.0,0,6,1.0167370000357625
50.0,2,1891.3219999999856,1,20.0,0,6,1.8913219999999855
65.0,52,1128.0909999999858,1,20.0,0,6,1.1280909999999857
50.0,4,1170.117000035767,1,20.0,0,6,1.170117000035767
50.0,12,2303.7540000238514,1,20.0,0,6,2.3037540000238512
65.0,24,3784.550000035757,1,20.0,0,6,3.784550000035757
25.0,24,1351.0540000119072,0,20.0,0,6,1.3510540000119071
30.0,24,3990.072000011918,0,20.0,0,6,3.990072000011918
80.0,52,1932.1400000119172,1,20.0,0,6,1.932140000011917
25.0,1,1827.6380000238423,1,20.0,0,6,1.8276380000238424
50.0,1,1475.049000023835,1,20.0,0,6,1.4750490000238352
30.0,12,2442.7729999999865,1,20.0,0,6,2.4427729999999865
65.0,1,5431.459000000003,1,20.0,0,6,5.431459000000003
80.0,1,1096.6350000476814,1,20.0,0,6,1.0966350000476814
30.0,4,1863.613000035752,1,20.0,0,6,1.863613000035752
80.0,12,1646.3090000119118,1,20.0,0,6,1.6463090000119118
25.0,24,4590.911000011925,0,20.0,0,6,4.590911000011926
130.0,52,1202.2280000238388,1,20.0,0,6,1.2022280000238388
130.0,12,1517.5520000357646,1,20.0,0,6,1.5175520000357647
50.0,12,1540.992000035767,1,20.0,0,6,1.540992000035767
65.0,1,1746.8549999999814,1,20.0,0,6,1.7468549999999814
30.0,1,1013.3310000357452,1,20.0,0,6,1.0133310000357452
130.0,1,775.3090000238153,1,20.0,0,6,0.7753090000238153
130.0,2,966.1739999999992,1,20.0,0,6,0.9661739999999992
30.0,12,1306.7390000238663,0,20.0,0,6,1.3067390000238663
25.0,1,1718.0620000119088,1,20.0,0,6,1.718062000011909
65.0,52,1364.2430000238237,1,20.0,0,6,1.3642430000238237
50.0,24,2149.462000035739,1,20.0,0,6,2.149462000035739
30.0,2,1101.3100000476695,1,20.0,0,6,1.1013100000476694
80.0,1,2456.8920000476646,1,20.0,0,6,2.456892000047665
25.0,2,4085.317000047711,1,20.0,0,6,4.085317000047711
80.0,52,1455.31400002382,1,20.0,0,6,1.45531400002382
25.0,52,2632.896000023815,1,20.0,0,6,2.632896000023815
130.0,24,1620.015000023821,1,20.0,0,6,1.620015000023821
65.0,4,3120.129000011948,1,20.0,0,6,3.120129000011948
80.0,2,2399.731000023836,1,20.0,0,6,2.3997310000238357
80.0,24,5303.0240000357735,1,20.0,0,6,5.303024000035774
50.0,52,1420.4960000238498,0,20.0,0,6,1.4204960000238498
130.0,4,1453.0050000476767,1,20.0,0,6,1.4530050000476766
50.0,1,1757.9740000238526,1,20.0,0,6,1.7579740000238526
65.0,24,1485.258000011905,1,20.0,0,6,1.485258000011905
25.0,12,3432.9190000476665,0,20.0,0,6,3.4329190000476664
30.0,24,2368.0340000119177,1,20.0,0,6,2.3680340000119178
50.0,4,1438.8300000476884,1,20.0,0,6,1.4388300000476884
65.0,12,4444.490000023856,1,20.0,0,6,4.444490000023856
30.0,52,2363.3910000000037,0,20.0,0,6,2.3633910000000036
80.0,4,1953.8710000357823,1,20.0,0,6,1.9538710000357824
65.0,2,3286.68900002382,1,20.0,0,6,3.28668900002382
50.0,2,2035.8710000476567,1,20.0,0,6,2.0358710000476568
25.0,4,1872.0500000476604,1,20.0,0,6,1.8720500000476605
